Età,Sesso,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
55,Femmine,402793,397342,406848,388683,386857,371149,370517,373597,392427,397845,404472,412280,415471,432129,441306,453861,461194,475227,503388,492347,493808,491849,489034
55,Totale,790524,782704,799341,763120,757590,725952,724712,732071,764805,775430,787910,802167,807908,842569,860092,885121,900730,930364,990171,969939,974877,966681,963121
56,Maschi,303624,386795,384614,391557,373156,369328,353747,353028,357278,371033,376209,382250,388391,390470,408451,416879,429500,437987,453415,482300,478662,479716,473883
56,Femmine,316897,402532,398449,407521,388456,386128,371360,371103,374195,393238,398011,404470,412007,414508,430989,440114,452738,460125,474410,498964,492768,494413,491676
56,Totale,620521,789327,783063,799078,761612,755456,725107,724131,731473,764271,774220,786720,800398,804978,839440,856993,882238,898112,927825,981264,971430,974129,965559
57,Maschi,311363,302262,385746,383681,390110,371721,367886,352273,351302,355720,369584,374687,380475,386480,388218,406309,414957,427661,436116,449183,483300,477089,478649
57,Femmine,326841,316371,403026,399049,407359,388218,386054,371332,371019,374737,393072,397821,403875,410901,413339,429802,438847,451673,459353,470280,499325,493124,494278
57,Totale,638204,618633,788772,782730,797469,759939,753940,723605,722321,730457,762656,772508,784350,797381,801557,836111,853804,879334,895469,919463,982625,970213,972927
58,Maschi,315356,310098,300793,384503,382254,388384,370235,366470,350622,349470,353981,367904,372654,378206,384321,386041,404152,413040,425668,431452,449809,481573,475770
58,Femmine,334764,326244,316320,403179,398942,407054,388409,385951,371003,371063,374446,392716,397037,402768,409442,411964,428318,437639,450711,454905,470176,499748,492722
58,Totale,650120,636342,617113,787682,781196,795438,758644,752421,721625,720533,728427,760620,769691,780974,793763,798005,832470,850679,876379,886357,919985,981321,968492
59,Maschi,314309,313625,308524,299134,382853,380597,386674,368587,364549,348773,347559,352155,365765,370303,375701,381812,383847,401980,411026,420581,431801,447787,479751
