Età,Anno,Totale maschi,Totale femmine,Totale
41,1992,386182,390092,776274
42,1992,390831,394239,785070
43,1992,412107,416908,829015
44,1992,406355,410085,816440
45,1992,410449,416288,826737
46,1992,319991,325431,645422
47,1992,330807,336693,667500
48,1992,335582,344372,679954
49,1992,337479,347857,685336
50,1992,341372,352598,693970
51,1992,377559,392194,769753
52,1992,375648,388505,764153
53,1992,367403,382347,749750
54,1992,342721,358942,701663
55,1992,327662,347723,675385
56,1992,337945,358488,696433
57,1992,331051,353790,684841
58,1992,327342,350930,678272
59,1992,318177,347324,665501
60,1992,322312,352597,674909
61,1992,334986,371119,706105
62,1992,306320,342425,648745
63,1992,303503,342544,646047
64,1992,299140,342915,642055
65,1992,287871,338822,626693
66,1992,280037,334400,614437
67,1992,270694,329592,600286
68,1992,263226,328548,591774
69,1992,248290,325570,573860
70,1992,238211,316849,555060
71,1992,231277,312584,543861
72,1992,144873,198840,343713
73,1992,107701,151325,259026
74,1992,110243,155247,265490
75,1992,132366,190839,323205
76,1992,158849,233395,392244
77,1992,154594,232434,387028
78,1992,146952,225105,372057
79,1992,137398,215520,352918
80,1992,116176,190784,306960
81,1992,107234,181946,289180
82,1992,88544,157825,246369
83,1992,76074,143081,219155
84,1992,59710,118978,178688
85,1992,50491,105323,155814
86,1992,40845,86189,127034
87,1992,31765,73584,105349
88,1992,24417,58304,82721
89,1992,20140,49866,70006
90,1992,14703,38589,53292
91,1992,11211,30314,41525
92,1992,7835,22829,30664
93,1992,5628,16894,22522
94,1992,3962,12639,16601
95,1992,2677,8912,11589
96,1992,1621,5837,7458
97,1992,1024,4011,5035
98,1992,701,2546,3247
99,1992,463,1575,2038
100,1992,623,2229,2852
0,1993,293100,277354,570454
1,1993,264589,251203,515792
2,1993,270215,257130,527345
3,1993,271914,259083,530997
4,1993,275090,261049,536139
5,1993,268585,255509,524094
6,1993,272056,258675,530731
7,1993,282668,270684,553352
8,1993,287935,275219,563154
9,1993,296877,282519,579396
10,1993,306476,294026,600502
11,1993,313920,300891,614811
12,1993,320499,306516,627015
13,1993,333136,318940,652076
14,1993,355619,341217,696836
15,1993,370835,356837,727672
