Età,Sesso,Anno,Totale
83,Maschi,2006,111451
83,Femmine,2006,215469
84,Maschi,2006,98080
84,Femmine,2006,198579
85,Maschi,2006,82922
85,Femmine,2006,179652
86,Maschi,2006,50186
86,Femmine,2006,106521
87,Maschi,2006,32713
87,Femmine,2006,73163
88,Maschi,2006,29349
88,Femmine,2006,67976
89,Maschi,2006,30671
89,Femmine,2006,73887
9,Maschi,2006,277046
9,Femmine,2006,261330
90,Maschi,2006,31493
90,Femmine,2006,77438
91,Maschi,2006,25952
91,Femmine,2006,65223
92,Maschi,2006,20568
92,Femmine,2006,54320
93,Maschi,2006,15515
93,Femmine,2006,45028
94,Maschi,2006,10572
94,Femmine,2006,33072
95,Maschi,2006,7635
95,Femmine,2006,24872
96,Maschi,2006,4583
96,Femmine,2006,16539
97,Maschi,2006,2831
97,Femmine,2006,11240
98,Maschi,2006,1647
98,Femmine,2006,7078
99,Maschi,2006,1062
99,Femmine,2006,4620
0,Maschi,2007,286772
0,Femmine,2007,270112
1,Maschi,2007,285122
1,Femmine,2007,267748
10,Maschi,2007,279129
10,Femmine,2007,263197
11,Maschi,2007,278806
11,Femmine,2007,262371
12,Maschi,2007,281462
12,Femmine,2007,265673
13,Maschi,2007,288104
13,Femmine,2007,272356
14,Maschi,2007,298835
14,Femmine,2007,283180
15,Maschi,2007,298832
15,Femmine,2007,282180
16,Maschi,2007,300870
16,Femmine,2007,284947
17,Maschi,2007,296764
17,Femmine,2007,280948
18,Maschi,2007,301680
18,Femmine,2007,283555
19,Maschi,2007,291544
19,Femmine,2007,274802
2,Maschi,2007,287756
2,Femmine,2007,272591
20,Maschi,2007,293109
20,Femmine,2007,279226
21,Maschi,2007,300411
21,Femmine,2007,290424
22,Maschi,2007,306548
22,Femmine,2007,296571
23,Maschi,2007,315034
23,Femmine,2007,305090
24,Maschi,2007,327016
24,Femmine,2007,320268
25,Maschi,2007,332003
25,Femmine,2007,327362
26,Maschi,2007,342606
